Year,League,Statistic,Team,Value
1944,NL,Hits,St. Louis,1507
1944,NL,Home Runs,St. Louis,100
1944,NL,On Base Percentage,St. Louis,.344
1944,NL,Runs,St. Louis,772
1944,NL,Slugging Average,St. Louis,.402
1944,NL,Stolen Bases,Pittsburgh,87
1944,NL,Triples,Pittsburgh,80
1945,NL,Base on Balls,Brooklyn,629
1945,NL,Batting Average,Chicago,.277
1945,NL,Doubles,Pittsburgh,259
1945,NL,Hits,St. Louis,1498
1945,NL,Home Runs,New York,114
1945,NL,On Base Percentage,Chicago,.349
1945,NL,Runs,Brooklyn,795
1945,NL,Slugging Average,New York,.379
1945,NL,Stolen Bases,Boston,82
1945,NL,Triples,Brooklyn,71
1946,NL,Base on Balls,Brooklyn,691
1946,NL,Batting Average,St. Louis,.265
1946,NL,Doubles,St. Louis,265
1946,NL,Hits,St. Louis,1426
1946,NL,Home Runs,New York,121
1946,NL,On Base Percentage,Brooklyn,.348
1946,NL,Runs,St. Louis,712
1946,NL,Slugging Average,St. Louis,.381
1946,NL,Stolen Bases,Brooklyn,100
1946,NL,Triples,Brooklyn,66
1947,NL,Base on Balls,Brooklyn,732
1947,NL,Batting Average,Boston,.275
